Description,Same?,Values,Byte,Cellivar,2014 Blue Autopark,2013 Camera Only,2013 Silver,2015 Wreck A,2015 Wreck B,2013 Wreck A,2013 Wreck B,2013 Silver Autopark,2013 Energi Autopark A,2013 Energi Autopark B,2013 Hybrid Autopark B,2017 Energi Autopark A,2018 Hybrid Base A
Wheel brakes type rear,TRUE,01,105,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Emergency brake lamp,TRUE,01,106,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Aux lights,TRUE,01,107,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Roof hatch,FALSE,02;01,108,02,01,01,02,02,02,01,01,02,01,02,01,02,02
Power rear windows,TRUE,02,109,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Frequency band and step,TRUE,02,110,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Trim level,FALSE,02;01,111,02,02,02,02,02,02,02,02,02,02,02,02,02,01
In car entertainment,FALSE,17;18,112,17,18,18,17,17,17,18,18,18,18,18,18,18,17
Voice control,TRUE,02,113,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Speedometer bias,TRUE,01,114,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Speed lock,TRUE,01,115,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Clister level,TRUE,03,116,03,03,03,03,03,03,03,03,03,03,03,03,03,03
Speedometer,TRUE,02,117,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Tachograph,TRUE,01,118,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Radio amp and speaker system,TRUE,03,119,03,03,03,03,03,03,03,03,03,03,03,03,03,03
Center speaker - dashboard,FALSE,01;02;00,120,01,02,02,01,01,01,02,02,02,02,02,02,00,00
Subwoofer,TRUE,02,121,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Headphone sockets                             - rear,TRUE,01,122,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Audio aux input,TRUE,02,123,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Audio player,TRUE,04,124,04,04,04,04,04,04,04,04,04,04,04,04,04,04
Satellite radio receiver,TRUE,05,125,05,05,05,05,05,05,05,05,05,05,05,05,05,05
Microphone,TRUE,01,126,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Navigation system (not Sync),TRUE,01,127,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Parking brake switch,TRUE,01,128,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Terrain response fitment,TRUE,01,129,01,01,01,01,01,01,01,01,01,01,01,01,01,01
PAM scan pattern,TRUE,07,130,07,07,07,07,07,07,07,07,07,07,07,07,07,07
Front passenger seatbelt reminder,TRUE,02,131,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Driver knee bolster,TRUE,02,132,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Side curtain airbags,TRUE,01,133,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Airbag - driver side,TRUE,02,134,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Front active seat belt retractor pretensioner,TRUE,02,135,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Seat belt warning,TRUE,02,136,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Left hand side load door,TRUE,01,137,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Right hand side load door,TRUE,01,138,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Rear opening,TRUE,03,139,03,03,03,03,03,03,03,03,03,03,03,03,03,03
Bulkhead,TRUE,01,140,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Rear glazing,TRUE,01,141,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Roof height,TRUE,01,142,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Rear wash wipe,TRUE,02,143,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Power/Heated Mirrors,TRUE,02,144,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Auto relocking,TRUE,01,145,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Zonal opposite door locking,TRUE,01,146,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Audible mislock feedback,TRUE,06,147,06,06,06,06,06,06,06,06,06,06,06,06,06,06
Configurable unlocking,TRUE,01,148,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Homesafe lighting,TRUE,01,149,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Air quality sensor,TRUE,01,150,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Emissions evap system,TRUE,01,151,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Folding rear headrests,TRUE,01,152,01,01,01,01,01,01,01,01,01,01,01,01,01,01
External alarm unit supply,TRUE,01,153,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Accessory USB unit,TRUE,01,154,01,01,01,01,01,01,01,01,01,01,01,01,01,01
UNKNOWN,TRUE,01,155,01,01,01,01,01,01,01,01,01,01,01,01,01,01
UNKNOWN,TRUE,01,156,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Bluetooth handsfree,FALSE,08;09,157,08,09,09,08,08,08,09,09,09,09,09,09,09,08
Occupant weight sensor,TRUE,01,158,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Rear belt detection,TRUE,01,159,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Pyrotechnical steering column,TRUE,00,160,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Adaptive load limiter front,TRUE,01,161,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Seat track sensor,TRUE,04,162,04,04,04,04,04,04,04,04,04,04,04,04,04,04
Lap belt pretensioners - front,TRUE,01,163,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Front crash sensing system,TRUE,01,164,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Adaptive seat ventilation - front,TRUE,01,165,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Front door warning lamps,TRUE,01,166,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Electronic park brake stall apply,TRUE,01,167,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Electronic park brake key out apply,TRUE,01,168,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Electronic park brake drive away release,TRUE,01,169,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Battery saver time,TRUE,01,170,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Heated steering wheel,TRUE,01,171,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Touchscreen,FALSE,09;08,172,09,09,09,09,09,09,09,09,09,09,09,09,09,08
Rear Entertainment System,TRUE,01,173,01,01,01,01,01,01,01,01,01,01,01,01,01,01
TV Tuner,TRUE,01,174,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Speech control language,TRUE,01,175,01,01,01,01,01,01,01,01,01,01,01,01,01,01
UNKNOWN,TRUE,00,176,00,00,00,00,00,00,00,00,00,00,00,00,00,00
Self opening boot /tailgate,FALSE,01;03,177,01,03,03,01,01,01,03,03,03,03,03,03,03,03
Shift indication,TRUE,02,178,02,02,02,02,02,02,02,02,02,02,02,02,02,02
Neutral control function,TRUE,01,179,01,01,01,01,01,01,01,01,01,01,01,01,01,01
Rpm speed controller,TRUE,01,180,01,01,01,01,01,01,01,01,01,01,01,01,01,01
